"business","dish","location","date","ingredients","price"
"Esswirtschaft","Hühnerfrikassee mit frittierten Kapern, dazu Reis","Adlershof","31.07.2017","",""
"Esswirtschaft","Hühnerfrikassee mit frittierten Kapern, dazu Reis","Adlershof","01.08.2017","",""
"Esswirtschaft","Hühnerfrikassee mit frittierten Kapern, dazu Reis","Adlershof","02.08.2017","",""
"Esswirtschaft","Hühnerfrikassee mit frittierten Kapern, dazu Reis","Adlershof","03.08.2017","",""
"Esswirtschaft","Hühnerfrikassee mit frittierten Kapern, dazu Reis","Adlershof","04.08.2017","",""
"Esswirtschaft","Classic Cobb-Crispy Salat mit gebratenem Hähnchen, Cheddar, Tomaten, Ei, Bacon und Zwiebeln","Adlershof","31.07.2017","",""
"Esswirtschaft","Classic Cobb-Crispy Salat mit gebratenem Hähnchen, Cheddar, Tomaten, Ei, Bacon und Zwiebeln","Adlershof","01.08.2017","",""
"Esswirtschaft","Classic Cobb-Crispy Salat mit gebratenem Hähnchen, Cheddar, Tomaten, Ei, Bacon und Zwiebeln","Adlershof","02.08.2017","",""
"Esswirtschaft","Classic Cobb-Crispy Salat mit gebratenem Hähnchen, Cheddar, Tomaten, Ei, Bacon und Zwiebeln","Adlershof","03.08.2017","",""
"Esswirtschaft","Classic Cobb-Crispy Salat mit gebratenem Hähnchen, Cheddar, Tomaten, Ei, Bacon und Zwiebeln","Adlershof","04.08.2017","",""
"Esswirtschaft","Süßkartoffel-Quinoa-Salat im Glas, mit Cranberrys, Feigen, Mandeln, Rucola und Sanddorndressing","Adlershof","31.07.2017","Vegan;Vegetarian",""
"Esswirtschaft","Süßkartoffel-Quinoa-Salat im Glas, mit Cranberrys, Feigen, Mandeln, Rucola und Sanddorndressing","Adlershof","01.08.2017","Vegan;Vegetarian",""
"Esswirtschaft","Süßkartoffel-Quinoa-Salat im Glas, mit Cranberrys, Feigen, Mandeln, Rucola und Sanddorndressing","Adlershof","02.08.2017","Vegan;Vegetarian",""
"Esswirtschaft","Süßkartoffel-Quinoa-Salat im Glas, mit Cranberrys, Feigen, Mandeln, Rucola und Sanddorndressing","Adlershof","03.08.2017","Vegan;Vegetarian",""
"Esswirtschaft","Süßkartoffel-Quinoa-Salat im Glas, mit Cranberrys, Feigen, Mandeln, Rucola und Sanddorndressing","Adlershof","04.08.2017","Vegan;Vegetarian",""
"Esswirtschaft","Szegediner Fleischtopf","Adlershof","31.07.2017","",""
"Esswirtschaft","Szegediner Fleischtopf","Adlershof","01.08.2017","",""
"Esswirtschaft","Szegediner Fleischtopf","Adlershof","02.08.2017","",""
"Esswirtschaft","Szegediner Fleischtopf","Adlershof","03.08.2017","",""
"Esswirtschaft","Szegediner Fleischtopf","Adlershof","04.08.2017","",""
"Esswirtschaft","Thailändische rote Currysuppe mit Hühnchen","Adlershof","31.07.2017","Soup",""
"Esswirtschaft","Thailändische rote Currysuppe mit Hühnchen","Adlershof","01.08.2017","Soup",""
"Esswirtschaft","Thailändische rote Currysuppe mit Hühnchen","Adlershof","02.08.2017","Soup",""
"Esswirtschaft","Thailändische rote Currysuppe mit Hühnchen","Adlershof","03.08.2017","Soup",""
"Esswirtschaft","Thailändische rote Currysuppe mit Hühnchen","Adlershof","04.08.2017","Soup",""
"Esswirtschaft","Tomatencremesuppe","Adlershof","31.07.2017","Soup",""
"Esswirtschaft","Tomatencremesuppe","Adlershof","01.08.2017","Soup",""
"Esswirtschaft","Tomatencremesuppe","Adlershof","02.08.2017","Soup",""
"Esswirtschaft","Tomatencremesuppe","Adlershof","03.08.2017","Soup",""
"Esswirtschaft","Tomatencremesuppe","Adlershof","04.08.2017","Soup",""
"Esswirtschaft","Rippchen mit Pflaumensauce, Sesam-Öl, junge Zwiebeln und Dampfnudeln","Adlershof","31.07.2017","",""
"Esswirtschaft","Gemüseragout mit Champignons und Erbsen, dazu Kräutertaschen","Adlershof","31.07.2017","",""
"Esswirtschaft","Kohlroulade mit Apfeljus und Kartoffelstampf","Adlershof","01.08.2017","",""
"Esswirtschaft","Gebratene Nudeln mit Tofu und Sesam","Adlershof","01.08.2017","Vegan;Vegetarian",""
"Esswirtschaft","Grünes Curry mit Bohnen und Hähnchenfleisch, dazu Mie-Nudeln","Adlershof","02.08.2017","",""
"Esswirtschaft","Rote Zwiebel-Kartoffel-Tortilla mit Kräutersalat und roher Tomatensauce","Adlershof","02.08.2017","Vegetarian",""
"business","dish","location","date","ingredients","price"
"Jouis Nour","Puten-Tagliatelle mit Limettensauce und buntem Sommersalat","Adlershof","14.7.2017","Bio","7.5"
"Jouis Nour","Gemüse-Paella á la Jouis Nour mit frischem Gemüse und Joghurt-Dip","Adlershof","14.7.2017","Bio;Vegetarian","5.9"
"Jouis Nour","Zucchinicremesuppe mit gerösteten Haferflocken","Adlershof","14.7.2017","Bio;Soup;Vegetarian","4.5"
"Jouis Nour","Gebratene Hähnchenkeule mit Backkartoffeln an Knackigem Krautsalat und Salsa-Dip","Adlershof","17.7.2017","Bio","7.5"
"Jouis Nour","Buntes Spirelli-Brokkoli-Gratin mit Grünkern und Tomatensauce","Adlershof","17.7.2017","Bio;Vegetarian","5.9"
"Jouis Nour","Zucchinicremesuppe mit gerösteten Haferflocken","Adlershof","17.7.2017","Bio;Soup;Vegetarian","4.5"
"Jouis Nour","Griechischer Hackfleisch-Auflauf mit Bohnen und Fetakäse an Kräauterquark","Adlershof","18.7.2017","Bio","7.5"
"Jouis Nour","Gemüse-Quinoa-Pfanne mit Naturreis und einer leichten Curry-Sauce","Adlershof","18.7.2017","Bio;Vegan;Vegetarian","5.9"
"Jouis Nour","Toskanische Zuppa del Contadino (Bauersuppe) m. Dinkel u. geriebene Käse","Adlershof","18.7.2017","Bio;Soup;Vegetarian","4"
"Jouis Nour","Rinder-Rahmgeschnetzeltes mit Kartoffelpüree und Champignons","Adlershof","19.7.2017","Bio","7.5"
"Jouis Nour","Spagetthi mit Oliven, Peperoni, Käse und frischen Kräutern, dazu Salat","Adlershof","19.7.2017","Bio;Vegetarian","5.5"
"Jouis Nour","Grüner Bohnen-Eintopf mit Sonnenblumenkernen","Adlershof","19.7.2017","Bio;Vegan;Vegetarian","4.5"
"Jouis Nour","Seelachs mit Rahmlinsen, bunten Reis und grüner Salat","Adlershof","20.7.2017","Fish","7.9"
"Jouis Nour","Kartoffel-Pfifferlingsauflauf mit Lauchstreifen und Kräaterkruste","Adlershof","20.7.2017","Bio;Vegetarian","5.9"
"Jouis Nour","Kohlrabicreme-Suppe mit Schnittlauch","Adlershof","20.7.2017","Bio;Soup;Vegetarian","4"
"Jouis Nour","Klopse “Königsberger Art” mit Rote Beete und Kartoffelpüree","Adlershof","21.7.2017","Bio","7"
"Jouis Nour","Bunte Gemüse-Schupfnudeln-Pfanne mit Pesto","Adlershof","21.7.2017","Bio;Vegetarian","5.5"
"Jouis Nour","Blumenkohl-Süppchen mit gerösteten Haferflocken","Adlershof","21.7.2017","Bio;Vegan;Vegetarian","4"
"Jouis Nour","Schaschlik-Spieß mit ungarische, Letscho und Reis","Adlershof","24.7.2017","Bio","7.5"
"Jouis Nour","Gebackene Rosmarin-Ofenkartoffeln mit Ratatouille-Gemüse und Paprika Schmand","Adlershof","24.7.2017","Bio;Vegetarian","5.9"
"Jouis Nour","Paprika-Mais Suppe mit Sonnenblumenkerne","Adlershof","24.7.2017","Bio;Vegan;Soup;Vegetarian","4"
"Jouis Nour","Bratwurst auf Weinsauerkraut mit Petersilienkartoffeln und Kräutersenfsauce","Adlershof","25.7.2017","Bio","7"
"Jouis Nour","Indische Gemüsepfanne mit Kichererbsenpüre und Joguhrt-Minz-Dip","Adlershof","25.7.2017","Bio;Vegetarian","5.9"
"Jouis Nour","Champignon-Cremesuppe mit frischen Kräutern","Adlershof","25.7.2017","Bio;Soup;Vegetarian","4"
"Jouis Nour","Hausgemachtes Leber-Ragout mit Apfel an Kartoffelpüree und gerösteten Zwiebeln","Adlershof","26.7.2017","Bio","7.5"
"Jouis Nour","Bandnudeln an Pfifferlingsrahm und Krischtomaten","Adlershof","26.7.2017","Bio;Vegetarian","5.9"
"Jouis Nour","Berliner Kartoffelsuppe mit Kräuterschmand","Adlershof","26.7.2017","Bio;Soup;Vegetarian","4"
"Jouis Nour","Schollenfilet gedünstet in Dillrahm mit Kartoffeln und Gurkensalat","Adlershof","27.7.2017","Fish","7.9"
"Jouis Nour","Mediterrane Gemüse-Lasagne mit einem Kräuter-Dip","Adlershof","27.7.2017","Bio;Vegetarian","5.9"
"Jouis Nour","Tomatencremesuppe mit Käse-Croutons","Adlershof","27.7.2017","Bio;Soup;Vegetarian","4"
"Jouis Nour","Brandenburger Schmorkohl mit Hackfleisch und Petersilienkartoffeln","Adlershof","28.7.2017","Bio","7.5"
"Jouis Nour","Farfalle mit Tomaten-Oliven-Sauce und frischen Kräutern","Adlershof","27.7.2017","Bio;Vegan;Vegetarian","6"
"Jouis Nour","Lauch-Rahmsüppchen mit Karotttenraspeln","Adlershof","27.7.2017","Bio;Vegetarian","4"
"business","dish","location","date","ingredients","price"
"Suppencult","Spanischer Bauerntopf mit Schweinefleisch und Knacker, Kartoffeln, grünen Bohnen, Möhren, Lauch, Crème fraiche und frischer Petersilie","Alexanderplatz","31.07.2017","","4,70"
"Suppencult","Spanischer Bauerntopf mit Schweinefleisch und Knacker, Kartoffeln, grünen Bohnen, Möhren, Lauch, Crème fraiche und frischer Petersilie","Alexanderplatz","01.08.2017","","4,70"
"Suppencult","Spanischer Bauerntopf mit Schweinefleisch und Knacker, Kartoffeln, grünen Bohnen, Möhren, Lauch, Crème fraiche und frischer Petersilie","Alexanderplatz","02.08.2017","","4,70"
"Suppencult","Spanischer Bauerntopf mit Schweinefleisch und Knacker, Kartoffeln, grünen Bohnen, Möhren, Lauch, Crème fraiche und frischer Petersilie","Alexanderplatz","03.08.2017","","4,70"
"Suppencult","Spanischer Bauerntopf mit Schweinefleisch und Knacker, Kartoffeln, grünen Bohnen, Möhren, Lauch, Crème fraiche und frischer Petersilie","Alexanderplatz","04.08.2017","","4,70"
"Suppencult","Chili con Carne mit Kidneybohnen, Tomaten, Paprika, Crème fraiche und frischer Petersilie","Alexanderplatz","31.07.2017","","4,40"
"Suppencult","Chili con Carne mit Kidneybohnen, Tomaten, Paprika, Crème fraiche und frischer Petersilie","Alexanderplatz","01.08.2017","","4,40"
"Suppencult","Chili con Carne mit Kidneybohnen, Tomaten, Paprika, Crème fraiche und frischer Petersilie","Alexanderplatz","02.08.2017","","4,40"
"Suppencult","Chili con Carne mit Kidneybohnen, Tomaten, Paprika, Crème fraiche und frischer Petersilie","Alexanderplatz","03.08.2017","","4,40"
"Suppencult","Chili con Carne mit Kidneybohnen, Tomaten, Paprika, Crème fraiche und frischer Petersilie","Alexanderplatz","04.08.2017","","4,40"
"Suppencult","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander","Alexanderplatz","31.07.2017","Fish;Soup","4,30"
"Suppencult","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander","Alexanderplatz","01.08.2017","Fish;Soup","4,30"
"Suppencult","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander","Alexanderplatz","02.08.2017","Fish;Soup","4,30"
"Suppencult","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander","Alexanderplatz","03.08.2017","Fish;Soup","4,30"
