"business","price","ingredients","location","dish","date"
"Suppencult","4,70","","Alexanderplatz","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie","17.07.2017"
"Suppencult","4,70","","Alexanderplatz","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie","18.07.2017"
"Suppencult","4,70","","Alexanderplatz","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie","19.07.2017"
"Suppencult","4,70","","Alexanderplatz","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie","20.07.2017"
"Suppencult","4,70","","Alexanderplatz","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie","21.07.2017"
"Suppencult","4,30","","Alexanderplatz","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie","17.07.2017"
"Suppencult","4,30","","Alexanderplatz","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie","18.07.2017"
"Suppencult","4,30","","Alexanderplatz","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie","19.07.2017"
"Suppencult","4,30","","Alexanderplatz","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie","20.07.2017"
"Suppencult","4,30","","Alexanderplatz","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie","21.07.2017"
"Suppencult","4,40","","Alexanderplatz","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander","17.07.2017"
"Suppencult","4,40","","Alexanderplatz","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander","18.07.2017"
"Suppencult","4,40","","Alexanderplatz","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander","19.07.2017"
"Suppencult","4,40","","Alexanderplatz","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander","20.07.2017"
"Suppencult","4,40","","Alexanderplatz","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander","21.07.2017"
"Suppencult","5,50","","Alexanderplatz","Königsberger Klopse An heißen Sommertagen servieren wir Euch auch extra kalte Suppen, Salate und Desserts. Bitte achtet auch auf die Angebote im Laden.","17.07.2017"
"Suppencult","5,50","","Alexanderplatz","Königsberger Klopse An heißen Sommertagen servieren wir Euch auch extra kalte Suppen, Salate und Desserts. Bitte achtet auch auf die Angebote im Laden.","18.07.2017"
"Suppencult","5,50","","Alexanderplatz","Königsberger Klopse An heißen Sommertagen servieren wir Euch auch extra kalte Suppen, Salate und Desserts. Bitte achtet auch auf die Angebote im Laden.","19.07.2017"
"Suppencult","5,50","","Alexanderplatz","Königsberger Klopse An heißen Sommertagen servieren wir Euch auch extra kalte Suppen, Salate und Desserts. Bitte achtet auch auf die Angebote im Laden.","20.07.2017"
"Suppencult","5,50","","Alexanderplatz","Königsberger Klopse An heißen Sommertagen servieren wir Euch auch extra kalte Suppen, Salate und Desserts. Bitte achtet auch auf die Angebote im Laden.","21.07.2017"
"Suppencult","5,40/5,80","","Alexanderplatz","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet","17.07.2017"
"Suppencult","5,40/5,80","","Alexanderplatz","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet","18.07.2017"
"business","price","ingredients","location","dish","date"
"Albert","3.90","Vegetarian","Adlershof","Blumenkohlcremesuppe mit Croutons","17.07.2017"
"Albert","5.00","Vegetarian","Adlershof","Linguine mit Waldpilzsauce & Rucola","17.07.2017"
"Albert","5.90","","Adlershof","Seelachsfilet im Knuspermantel auf Kohlrabi-Karottenrahm & Wasabi-Kartoffelpüree","17.07.2017"
"Albert","3.90","","Adlershof","Pikante Maiscremesuppe mit Hähnchenbruststreifen","18.07.2017"
"Albert","5.00","Vegetarian","Adlershof","Karotten-Sesam-Knusperschnitzel mit Schnittlauchsauce & Reis","18.07.2017"
"Albert","5.80","","Adlershof","Geschnetzeltes „Züricher Art“ mit Champignons & Spätzle","18.07.2017"
"Albert","3.90","","Adlershof","Weiße Bohneneintopf mit Rindfleisch","19.07.2017"
"Albert","5.00","Vegetarian","Adlershof","Cannelloni mit Spinat-Ricottafüllung, Tomatensauce & Mozzarella","19.07.2017"
"Albert","5.80","","Adlershof","Hähnchenbrust in Senf-Estragonsauce mit Broccoli & Reis","19.07.2017"
"Albert","3.90","Vegetarian","Adlershof","Gemüsesuppe mit Maultaschenstreifen","20.07.2017"
"Albert","5.00","Vegetarian","Adlershof","Lauchquiche mit gemischtem Salat & Honig-Senfdressing","20.07.2017"
"Albert","5.80","","Adlershof","Saltimbocca von der Hähnchenbrust auf Spaghetti mit mediterranem Tomatenragout & Parmesan","20.07.2017"
"Albert","3.90","","Adlershof","Kohlrabieintopf mit Kasseler","21.07.2017"
"Albert","5.00","Vegetarian","Adlershof","Käsespätzle mit Röstzwiebeln","21.07.2017"
"Albert","5.80","","Adlershof","Mit Hackfleisch gefüllte Kohlroulade auf Kartoffelstampf","21.07.2017"
"business","price","ingredients","location","dish","date"
"La Petite","5,90","","Adlershof","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","17.07.2017"
"La Petite","5,90","","Adlershof","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","18.07.2017"
"La Petite","5,90","","Adlershof","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","19.07.2017"
"La Petite","5,90","","Adlershof","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","20.07.2017"
"La Petite","5,90","","Adlershof","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","21.07.2017"
"La Petite","6,20","","Adlershof","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","17.07.2017"
"La Petite","6,20","","Adlershof","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","18.07.2017"
"La Petite","6,20","","Adlershof","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","19.07.2017"
"La Petite","6,20","","Adlershof","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","20.07.2017"
"La Petite","6,20","","Adlershof","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","21.07.2017"
"La Petite","6,50","","Adlershof","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","17.07.2017"
"La Petite","6,50","","Adlershof","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","18.07.2017"
"La Petite","6,50","","Adlershof","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","19.07.2017"
"La Petite","6,50","","Adlershof","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","20.07.2017"
"La Petite","6,50","","Adlershof","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","21.07.2017"
"La Petite","4,90","","Adlershof","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","17.07.2017"
"La Petite","4,90","","Adlershof","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","18.07.2017"
"La Petite","4,90","","Adlershof","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","19.07.2017"
"La Petite","4,90","","Adlershof","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","20.07.2017"
"La Petite","4,90","","Adlershof","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","21.07.2017"
"La Petite","6,60","","Adlershof","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","17.07.2017"
"La Petite","6,60","","Adlershof","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","18.07.2017"
"La Petite","6,60","","Adlershof","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","19.07.2017"
"La Petite","6,60","","Adlershof","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","20.07.2017"
"La Petite","6,60","","Adlershof","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","21.07.2017"
"business","price","ingredients","location","dish","date"
"Esswirtschaft","","","Adlershof","Schweinegulasch mit Paprika, dazu Spiralnudeln","17.07.2017"
"Esswirtschaft","","","Adlershof","Schweinegulasch mit Paprika, dazu Spiralnudeln","18.07.2017"
"Esswirtschaft","","","Adlershof","Schweinegulasch mit Paprika, dazu Spiralnudeln","19.07.2017"
"Esswirtschaft","","","Adlershof","Schweinegulasch mit Paprika, dazu Spiralnudeln","20.07.2017"
"Esswirtschaft","","","Adlershof","Schweinegulasch mit Paprika, dazu Spiralnudeln","21.07.2017"
"Esswirtschaft","","","Adlershof","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing","17.07.2017"
"Esswirtschaft","","","Adlershof","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing","18.07.2017"
"Esswirtschaft","","","Adlershof","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing","19.07.2017"
"Esswirtschaft","","","Adlershof","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing","20.07.2017"
"Esswirtschaft","","","Adlershof","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing","21.07.2017"
"Esswirtschaft","","Vegan;Vegetarian","Adlershof","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","17.07.2017"
"Esswirtschaft","","Vegan;Vegetarian","Adlershof","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","18.07.2017"
"Esswirtschaft","","Vegan;Vegetarian","Adlershof","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","19.07.2017"
"Esswirtschaft","","Vegan;Vegetarian","Adlershof","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","20.07.2017"
"Esswirtschaft","","Vegan;Vegetarian","Adlershof","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing","21.07.2017"
"Esswirtschaft","","","Adlershof","Südtiroler Berglinsensuppe mit Kasseler","17.07.2017"
"Esswirtschaft","","","Adlershof","Südtiroler Berglinsensuppe mit Kasseler","18.07.2017"
"Esswirtschaft","","","Adlershof","Südtiroler Berglinsensuppe mit Kasseler","19.07.2017"
"Esswirtschaft","","","Adlershof","Südtiroler Berglinsensuppe mit Kasseler","20.07.2017"
"Esswirtschaft","","","Adlershof","Südtiroler Berglinsensuppe mit Kasseler","21.07.2017"
"Esswirtschaft","","","Adlershof","Klare Glasnudelsuppe mit Geflügelstreifen","17.07.2017"
"Esswirtschaft","","","Adlershof","Klare Glasnudelsuppe mit Geflügelstreifen","18.07.2017"
"Esswirtschaft","","","Adlershof","Klare Glasnudelsuppe mit Geflügelstreifen","19.07.2017"
"Esswirtschaft","","","Adlershof","Klare Glasnudelsuppe mit Geflügelstreifen","20.07.2017"
"Esswirtschaft","","","Adlershof","Klare Glasnudelsuppe mit Geflügelstreifen","21.07.2017"
"Esswirtschaft","","","Adlershof","Vegane Karottensuppe","17.07.2017"
"Esswirtschaft","","","Adlershof","Vegane Karottensuppe","18.07.2017"
"Esswirtschaft","","","Adlershof","Vegane Karottensuppe","19.07.2017"
"Esswirtschaft","","","Adlershof","Vegane Karottensuppe","20.07.2017"
"Esswirtschaft","","","Adlershof","Vegane Karottensuppe","21.07.2017"
"Esswirtschaft","","","Adlershof","Hähnchen-Nudel-Pfanne indonesisch","17.07.2017"
"Esswirtschaft","","Vegetarian","Adlershof","Pilzragout “Stroganoff” mit Spinatspätzle und Crème fraîche","17.07.2017"
"Esswirtschaft","","","Adlershof","Topf vom Kräuterschwein mit weißen und grünen Bohnen, dazu Salzkartoffeln","18.07.2017"
"Esswirtschaft","","Vegetarian","Adlershof","Pappardelle mit Mandel – Spinat – Sauce","18.07.2017"
"Esswirtschaft","","","Adlershof","Tandoori Huhn mit Erdnuss, Kreuzkümmel dazu Basmatireis","19.07.2017"
"Esswirtschaft","","Vegan;Vegetarian","Adlershof","Klassisches Ratatouille mit Kartoffelgnocchi","19.07.2017"
"Esswirtschaft","","","Adlershof","Geschmorte Rinderschulter mit Karotten und Kartoffelstampf","20.07.2017"
"Esswirtschaft","","Vegetarian","Adlershof","Penne Rigate mit Basilikumpesto, Parmesan und fritiertem Rucola","20.07.2017"
"business","price","ingredients","location","dish","date"
"Jouis Nour","7.5","Bio","Adlershof","Puten-Tagliatelle mit Limettensauce und buntem Sommersalat","14.7.2017"
"Jouis Nour","5.9","Bio;Vegetarian","Adlershof","Gemüse-Paella á la Jouis Nour mit frischem Gemüse und Joghurt-Dip","14.7.2017"
"Jouis Nour","4.5","Bio;Vegetarian","Adlershof","Zucchinicremesuppe mit gerösteten Haferflocken","14.7.2017"
"Jouis Nour","7.5","Bio","Adlershof","Gebratene Hähnchenkeule mit Backkartoffeln an Knackigem Krautsalat und Salsa-Dip","17.7.2017"
"Jouis Nour","5.9","Bio;Vegetarian","Adlershof","Buntes Spirelli-Brokkoli-Gratin mit Grünkern und Tomatensauce","17.7.2017"
"Jouis Nour","4.5","Bio;Vegetarian","Adlershof","Zucchinicremesuppe mit gerösteten Haferflocken","17.7.2017"
"Jouis Nour","7.5","Bio","Adlershof","Griechischer Hackfleisch-Auflauf mit Bohnen und Fetakäse an Kräauterquark","18.7.2017"
"Jouis Nour","5.9","Bio;Vegetarian;Vegan","Adlershof","Gemüse-Quinoa-Pfanne mit Naturreis und einer leichten Curry-Sauce","18.7.2017"
"Jouis Nour","4","Bio;Vegetarian","Adlershof","Toskanische Zuppa del Contadino (Bauersuppe) m. Dinkel u. geriebene Käse","18.7.2017"
"Jouis Nour","7.5","Bio","Adlershof","Rinder-Rahmgeschnetzeltes mit Kartoffelpüree und Champignons","19.7.2017"
"Jouis Nour","5.5","Bio;Vegetarian","Adlershof","Spagetthi mit Oliven, Peperoni, Käse und frischen Kräutern, dazu Salat","19.7.2017"
"Jouis Nour","4.5","Bio;Vegetarian;Vegan","Adlershof","Grüner Bohnen-Eintopf mit Sonnenblumenkernen","19.7.2017"
"Jouis Nour","7.9","Fish","Adlershof","Seelachs mit Rahmlinsen, bunten Reis und grüner Salat","20.7.2017"
